listing_datetime,unit_price,quantity,listings
"2019-03-03 00:05:02 UTC",11,585905,3571
"2019-03-02 23:30:10 UTC",11,585417,3568
"2019-03-02 22:34:46 UTC",11,585316,3567
"2019-03-02 21:44:44 UTC",11,585158,3569
"2019-03-02 20:47:29 UTC",11,585365,3573
"2019-03-02 20:14:38 UTC",11,585322,3570
"2019-03-02 18:57:42 UTC",11,585563,3591
"2019-03-02 18:23:52 UTC",11,585557,3589
"2019-03-02 17:34:40 UTC",11,585402,3584
"2019-03-02 16:42:25 UTC",11,585337,3580
"2019-03-02 15:48:21 UTC",11,585881,3587
"2019-03-02 15:14:39 UTC",11,585869,3585
"2019-03-02 14:00:15 UTC",11,585824,3578
"2019-03-02 13:26:00 UTC",11,585801,3578
"2019-03-02 12:33:24 UTC",11,585737,3576
"2019-03-02 11:40:55 UTC",11,585709,3576
"2019-03-02 10:47:39 UTC",11,585602,3573
"2019-03-02 10:14:57 UTC",11,585568,3567
"2019-03-02 09:07:04 UTC",11,585239,3559
"2019-03-02 08:32:52 UTC",11,585224,3558
"2019-03-02 07:36:55 UTC",11,585120,3552
"2019-03-02 06:44:40 UTC",11,585039,3550
"2019-03-02 05:46:17 UTC",11,584994,3547
"2019-03-02 05:13:16 UTC",11,586742,3573
"2019-03-02 03:57:40 UTC",11,586385,3570
"2019-03-02 03:22:13 UTC",11,586377,3568
"2019-03-02 02:26:12 UTC",11,586052,3563
"2019-03-02 01:32:13 UTC",11,584170,3548
"2019-03-02 00:38:27 UTC",11,584131,3543
"2019-03-02 00:05:45 UTC",11,584090,3535
"2019-03-01 22:47:42 UTC",12,583927,3531
"2019-03-01 22:14:18 UTC",12,583944,3526
"2019-03-01 21:21:31 UTC",12,583757,3524
"2019-03-01 20:30:56 UTC",12,583715,3522
"2019-03-01 19:31:35 UTC",12,583619,3519
"2019-03-01 18:59:48 UTC",12,583366,3516
"2019-03-01 17:45:36 UTC",12,583256,3513
"2019-03-01 17:10:02 UTC",12,583198,3509
"2019-03-01 16:18:47 UTC",12,583180,3506
"2019-03-01 15:25:07 UTC",12,583157,3503
"2019-03-01 14:31:55 UTC",11,584119,3514
"2019-03-01 13:59:21 UTC",11,584102,3512
"2019-03-01 12:43:35 UTC",11,583957,3498
"2019-03-01 12:10:26 UTC",11,583884,3494
"2019-03-01 11:18:58 UTC",12,582981,3484
"2019-03-01 10:27:28 UTC",12,580905,3477
"2019-03-01 09:33:24 UTC",12,580881,3476
"2019-03-01 09:01:51 UTC",12,580840,3476
"2019-03-01 07:52:33 UTC",12,580821,3481
